Site,Lat,Long,mid-depth,Depth_Upper,Depth_Lower,ECa,GammaK,DEM,NDVI10,NDVImed,NDVI90,Clay,Silt,Sand,method of PSA,pH,EC,Organic Carbon,Organic Matter,Total Carbon (Combustion),Inorganic carbon (TC-OC),Exch. Calcium - Method 15C1,Exch. Magnesium - Method 15C1,Exch. Potassium - Method 15C1,Exch. Sodium - Method 15C1,Cation Exchange Capacity - Method 15C1,ESP
TR2,-30.27409555,149.876316,0.05,0,10,165.4825689,4.254080772,257.27771,0.122680388,0.170064032,0.60237968,56.01784134,14.53112984,31.21245575,NIR,8.75,93,,,,,,,,,,
TR2,-30.27409555,149.876316,0.45,40,50,165.4825689,4.254080772,257.27771,0.122680388,0.170064032,0.60237968,61.31794357,19.0087719,28.83017349,NIR,9.23,198,,,,,,,,,,
TR3,-30.27343787,149.883856,0.05,0,10,155.9026511,4.84685564,263.3126831,0.123071723,0.166357934,0.625296474,55.62748718,15.89581013,29.29660606,NIR,8.36,147,,,,,,,,,,
TR3,-30.27343787,149.883856,0.45,40,50,155.9026511,4.84685564,263.3126831,0.123071723,0.166357934,0.625296474,51.95904922,13.08388519,28.04471207,NIR,9.19,238,,,,,,,,,,
TR4,-30.27241897,149.891084,0.05,0,10,159.0207655,4.872594833,266.9543762,0.119630434,0.169583783,0.616149426,52.64515305,22.74886894,22.74799919,NIR,8.52,127,,,,,,,,,,
TR4,-30.27241897,149.891084,0.45,40,50,159.0207655,4.872594833,266.9543762,0.119630434,0.169583783,0.616149426,51.07936859,18.95788956,31.44904137,NIR,8.45,229,,,,,,,,,,
TR5,-30.27451822,149.8967081,0.05,0,10,150.1992022,5.867269039,270.9293518,0.131438985,0.181220084,0.585472405,49.71560287,18.41903114,32.67765808,NIR,7.72,230,,,,,,,,,,
TR5,-30.27451822,149.8967081,0.45,40,50,150.1992022,5.867269039,270.9293518,0.131438985,0.181220084,0.585472405,54.54096222,14.5353899,27.29224014,NIR,8.98,166,,,,,,,,,,
TS3,-30.27940988,149.876962,0.05,0,10,161.2279669,3.608527899,255.3645477,0.138800099,0.18593137,0.622257531,57.07240295,17.50669289,28.09659767,NIR,8.48,120,,,,,,,,,,
TS3,-30.27940988,149.876962,0.45,40,50,161.2279669,3.608527899,255.3645477,0.138800099,0.18593137,0.622257531,62.86555862,14.41750622,26.38430405,NIR,9.13,245,,,,,,,,,,
TT3,-30.26483213,149.87578,0.05,0,10,141.296925,5.611783504,256.8392334,0.131249562,0.174251676,0.601809978,46.67924118,19.11826897,36.70170212,NIR,7.46,100,,,,,,,,,,
TT3,-30.26483213,149.87578,0.45,40,50,141.296925,5.611783504,256.8392334,0.131249562,0.174251676,0.601809978,53.6761055,19.46219063,26.82689667,NIR,6.17,127,,,,,,,,,,
TU2,-30.26998376,149.8735329,0.05,0,10,141.2682404,4.59849453,255.6725159,0.126386747,0.181219801,0.556784689,51.69579315,21.87350655,21.79549026,NIR,8.23,164,,,,,,,,,,
TU2,-30.26998376,149.8735329,0.45,40,50,141.2682404,4.59849453,255.6725159,0.126386747,0.181219801,0.556784689,56.94148636,26.0777626,13.06475258,NIR,9.46,278,,,,,,,,,,
TU3,-30.26983936,149.886746,0.05,0,10,136.481418,4.982136726,265.054657,0.138443351,0.180996746,0.64171654,48.02513123,16.968153,33.51089096,NIR,6.08,63,,,,,,,,,,
TU3,-30.26983936,149.886746,0.45,40,50,136.481418,4.982136726,265.054657,0.138443351,0.180996746,0.64171654,54.13737106,23.37811089,19.87405014,NIR,8.99,169,,,,,,,,,,
TU4,-30.2688634,149.892917,0.05,0,10,147.6252782,5.434982777,270.3509216,0.133946374,0.177788958,0.600216329,49.92468262,24.18282318,23.43052101,NIR,8.82,139,,,,,,,,,,
TU4,-30.2688634,149.892917,0.45,40,50,147.6252782,5.434982777,270.3509216,0.133946374,0.177788958,0.600216329,52.9157486,21.99301529,24.33031082,NIR,8.81,109,,,,,,,,,,
TU5,-30.27022603,149.900733,0.05,0,10,151.7463163,5.321398258,275.617157,0.130959287,0.177882925,0.602428913,52.37397385,20.21341133,20.36465454,NIR,8.23,87,,,,,,,,,,
TU5,-30.27022603,149.900733,0.45,40,50,151.7463163,5.321398258,275.617157,0.130959287,0.177882925,0.602428913,51.99765015,24.48374367,23.12042427,NIR,7.95,205,,,,,,,,,,
TV2,-30.26485943,149.8693111,0.05,0,10,149.428818,4.529580116,254.3390961,0.122576281,0.173804268,0.622922063,56.03993225,24.76534843,15.66086006,NIR,8.44,104,,,,,,,,,,
TV2,-30.26485943,149.8693111,0.45,40,50,149.428818,4.529580116,254.3390961,0.122576281,0.173804268,0.622922063,57.47693634,27.35276604,17.58029556,NIR,9.36,196,,,,,,,,,,
TV3,-30.26306896,149.881058,0.05,0,10,160.9186163,5.259121895,260.4108582,0.127235308,0.177091628,0.647127509,61.05606079,20.14095688,16.14531326,NIR,8.39,74,,,,,,,,,,
TV3,-30.26306896,149.881058,0.45,40,50,160.9186163,5.259121895,260.4108582,0.127235308,0.177091628,0.647127509,61.75490952,19.40681839,10.7413168,NIR,9.1,156,,,,,,,,,,
TV4,-30.2601708,149.88789,0.05,0,10,132.5751373,5.373728752,263.0808716,0.134869292,0.181613564,0.612178385,52.34920883,20.26802635,25.60327339,NIR,8.27,46,,,,,,,,,,
TV4,-30.2601708,149.88789,0.45,40,50,132.5751373,5.373728752,263.0808716,0.134869292,0.181613564,0.612178385,53.54440308,20.70678711,20.87504768,NIR,8.2,497,,,,,,,,,,
TV5,-30.25877285,149.8920699,0.05,0,10,177.5890466,4.904584408,264.3049622,0.135059163,0.177165926,0.669931114,43.27292252,26.62706947,34.26282883,NIR,8.59,74,,,,,,,,,,
TV5,-30.25877285,149.8920699,0.45,40,50,177.5890466,4.904584408,264.3049622,0.135059163,0.177165926,0.669931114,50.21176147,25.49026489,14.61378002,NIR,9.14,230,,,,,,,,,,
TW1,-30.26366305,149.870083,0.05,0,10,152.7977589,4.248751163,252.6974792,0.126442671,0.177341357,0.640031755,62.42014313,15.88889694,17.06096268,NIR,8.72,135,,,,,,,,,,
TW1,-30.26366305,149.870083,0.45,40,50,152.7977589,4.248751163,252.6974792,0.126442671,0.177341357,0.640031755,55.74895477,20.54476357,27.93981552,NIR,9.19,1758,,,,,,,,,,
TW2,-30.26237201,149.871747,0.05,0,10,155.8839813,4.072712421,252.5924683,0.127014145,0.174156591,0.599898577,59.38851929,19.8601799,15.01794434,NIR,8.69,113,,,,,,,,,,
TW2,-30.26237201,149.871747,0.45,40,50,155.8839813,4.072712421,252.5924683,0.127014145,0.174156591,0.599898577,61.47409439,21.52475166,14.11490154,NIR,9.46,263,,,,,,,,,,
TW3,-30.26057455,149.873452,0.05,0,10,153.5143098,4.572698593,253.0216522,0.127238885,0.17938076,0.629238605,60.61373138,22.56275558,11.94360733,NIR,8.36,116,,,,,,,,,,
TW3,-30.26057455,149.873452,0.45,40,50,153.5143098,4.572698593,253.0216522,0.127238885,0.17938076,0.629238605,59.30554962,21.76328659,17.15895081,NIR,9.21,175,,,,,,,,,,
TW4,-30.25741709,149.875036,0.05,0,10,148.1180126,4.38313961,253.5119934,0.135283232,0.189300433,0.579530656,62.79177094,22.06223869,14.48248959,NIR,8.58,151,,,,,,,,,,
TW4,-30.25741709,149.875036,0.45,40,50,148.1180126,4.38313961,253.5119934,0.135283232,0.189300433,0.579530656,65.85434723,20.69402504,6.293949127,NIR,9.46,247,,,,,,,,,,
TX1,-30.26706359,149.868244,0.05,0,10,NA,NA,253.0166779,0.212781385,0.365123719,0.618152499,32.485569,6.302837372,41.9550209,NIR,8.17,47,,,,,,,,,,
TX1,-30.26706359,149.868244,0.45,40,50,NA,NA,253.0166779,0.212781385,0.365123719,0.618152499,35.94532394,0,29.36070251,NIR,7.94,34,,,,,,,,,,
TX2,-30.265089,149.873158,0.05,0,10,149.2992232,4.514483929,254.7343292,0.122866496,0.168849856,0.606370866,59.36568832,28.60360718,16.06059837,NIR,9.38,352,,,,,,,,,,
TX2,-30.265089,149.873158,0.45,40,50,149.2992232,4.514483929,254.7343292,0.122866496,0.168849856,0.606370866,63.80037689,23.85470581,13.28947449,NIR,9.45,251,,,,,,,,,,
TX3,-30.26544603,149.878549,0.05,0,10,123.8098781,5.516419411,259.0404053,0.127633765,0.165359199,0.517255068,40.19197845,16.95977402,40.28711319,NIR,8.61,160,,,,,,,,,,
TX3,-30.26544603,149.878549,0.45,40,50,123.8098781,5.516419411,259.0404053,0.127633765,0.165359199,0.517255068,40.0255928,20.51239967,41.19304657,NIR,9.11,177,,,,,,,,,,
TX4,-30.26745495,149.885646,0.05,0,10,150.6880816,5.881145,265.271759,0.139537871,0.185621083,0.583888531,46.01008987,20.63737106,33.01125717,NIR,8.11,117,,,,,,,,,,
